NORAD_CAT_ID,SATNAME,EPOCH,Orb,Inc,Ecc,MnM,ApA,PeA,AvA,LAN,AgP,MnA,SMa,T,Vel
85292,TBA - TO BE ASSIGNED,2020-11-06T06:41:45.545568,91660.0,65.8315,0.0065561,14.4871956,776.4342094641097,683.2330767972508,729.8336431306802,283.8994,239.183,120.2808,7107.9706431306795,5963.887172200525,7488.521398754732
85370,TBA - TO BE ASSIGNED,2020-11-05T10:59:31.172352,85571.0,99.9633,0.0009761,13.83397201,959.0167698091172,944.7071458436485,951.8619578263829,25.8104,207.1736,166.7493,7329.998957826383,6245.494781798382,7374.234286077599
85373,TBA - TO BE ASSIGNED,2020-11-07T08:29:07.858752,35281.0,100.4113,0.0048692,13.90662838,961.8756780299072,890.7420623675644,926.3088701987358,87.4777,50.7176,4.2747,7304.445870198736,6212.864659866597,7387.121638942433
85383,TBA - TO BE ASSIGNED,2020-11-07T04:04:49.031616,31654.0,98.6677,0.0109567,14.42116242,829.6324059304543,673.3974909237913,751.5149484271228,26.5635,201.9658,157.6815,7129.651948427123,5991.19526454927,7477.126414612315
85386,TBA - TO BE ASSIGNED,2020-11-07T04:51:42.093792,36683.0,98.6433,0.0118104,14.45228598,825.3583892677698,657.1921756265419,741.2752824471559,37.9772,145.627,246.9701,7119.412282447155,5978.292992511063,7482.501561041218
85409,TBA - TO BE ASSIGNED,2020-11-07T19:59:59.999712,122.0,1.9279,0.3969569,1.2921008,43363.55853232221,15094.527097988812,29229.04281515551,112.0191,196.7156,59.6844,35607.17981515551,66867.84808120222,3345.8009411787853
85416,TBA - TO BE ASSIGNED,2020-10-21T18:27:16.472160,14.0,97.4627,0.000647,15.1562373,523.548121585035,514.6231155166297,519.0856185508324,8.0019,55.4743,55.7568,6897.222618550832,5700.62333347076,7602.068279582384
87001,TBA - TO BE ASSIGNED,2020-11-07T02:27:45.308736,32226.0,105.3744,0.0012699,12.77369078,1361.8827615450973,1342.2495915173422,1352.0661765312198,28.9012,92.3792,267.8732,7730.2031765312195,6763.902578202217,7180.8099627010615
87011,TBA - TO BE ASSIGNED,2020-11-07T03:33:27.307008,33747.0,67.0378,0.0263752,13.27711352,1354.1069140128602,956.7093937281306,1155.4081538704954,214.5121,182.7134,177.2501,7533.545153870496,6507.4385234298925,7273.931217535994
87014,TBA - TO BE ASSIGNED,2020-11-07T19:47:08.356992,34058.0,100.4788,0.005821,13.4247805,1143.5930773676237,1056.5318790423607,1100.0624782049922,162.1683,6.4755,6.4641,7478.1994782049915,6435.859416844833,7300.798547997316
87029,TBA - TO BE ASSIGNED,2020-11-06T23:01:59.635200,33220.0,98.9602,0.0071902,13.9991764,946.3690501316432,841.7916557097024,894.0803529206728,14.7139,33.7432,326.8279,7272.217352920673,6171.791649114434,7403.472414536841
87041,TBA - TO BE ASSIGNED,2020-11-07T19:34:58.727136,31855.0,67.3203,0.0356167,12.43430619,1772.405470419756,1211.7821703007075,1492.0938203602318,351.8601,191.6657,167.5933,7870.2308203602315,6948.517969541804,7116.642551887955
87042,TBA - TO BE ASSIGNED,2020-11-07T10:51:47.114496,29262.0,98.9164,0.00445,14.03590097,913.694663821665,849.084875571366,881.3897696965155,20.9657,266.8782,92.7293,7259.526769696515,6155.643316711136,7409.940698254145
87051,TBA - TO BE ASSIGNED,2020-11-07T18:49:41.306304,33937.0,65.731,0.0772512,13.35843058,1704.4155315335693,545.1930918203325,1124.8043116769509,324.3909,255.3087,96.1169,7502.94131167695,6467.825653812687,7288.7509857922
87053,TBA - TO BE ASSIGNED,2020-11-07T18:53:29.462784,24398.0,63.0627,0.2623421,10.20127467,4958.283507841291,246.37480653100192,2602.3291571861464,278.2026,60.4894,323.2028,8980.466157186145,8469.529818081046,6662.2273281328335
87054,TBA - TO BE ASSIGNED,2020-11-07T17:45:21.636864,35524.0,100.0931,0.0013552,13.99766017,904.4615163213548,884.749475061034,894.6054956911944,322.3509,258.1696,101.7945,7272.742495691195,6172.460179107198,7403.205118520028
87065,TBA - TO BE ASSIGNED,2020-11-07T04:29:59.872128,26621.0,98.7289,0.0337473,13.43670273,1347.8580139498235,843.4185411032795,1095.6382775265515,37.1586,13.974,347.0457,7473.775277526552,6430.148953663715,7302.959130699586
87071,TBA - TO BE ASSIGNED,2020-11-07T07:24:40.982688,34707.0,61.2224,0.0577846,13.65192624,1444.1988649093073,589.5625825897532,1016.8807237495303,284.5918,70.3993,295.8446,7395.01772374953,6328.777234881974,7341.744697870084
87074,TBA - TO BE ASSIGNED,2020-11-06T16:14:27.306816,34799.0,66.1421,0.015482,13.7005402,1113.5957542732958,885.1584082609406,999.3770812671182,91.3683,213.3122,145.8125,7377.514081267118,6306.320680698406,7350.448926709894
87076,TBA - TO BE ASSIGNED,2020-11-04T11:32:11.334336,82149.0,67.761,0.064059,12.54835235,1945.4351315416852,943.2356159613855,1444.3353737515354,357.2258,354.5801,4.8498,7822.472373751534,6885.366109439849,7138.334070164987
87079,TBA - TO BE ASSIGNED,2020-11-07T11:06:38.031552,37542.0,70.3254,0.002515,14.89922437,615.7232036748837,580.632340371606,598.1777720232449,330.7583,155.8061,204.4284,6976.314772023245,5798.959587048616,7558.852207167283
87082,TBA - TO BE ASSIGNED,2020-11-07T15:33:55.480320,32881.0,97.4566,0.0163854,14.96171496,692.730104690535,464.747715614114,578.7389101523245,282.8131,226.805,131.9388,6956.875910152324,5774.7390744302675,7569.405290723578
87091,TBA - TO BE ASSIGNED,2020-11-07T12:35:57.414048,37789.0,65.7008,0.0142421,15.02841286,656.9271720573615,459.3528701330806,558.1400210952211,242.162,84.6425,277.0932,6936.277021095221,5749.11008932715,7580.636513880616
87094,TBA - TO BE ASSIGNED,2020-11-07T15:18:05.497632,36532.0,99.7928,0.0131334,14.46544078,830.4037829930476,643.5129954237882,736.9583892084179,7.6101,161.5656,199.0357,7115.095389208417,5972.856362555991,7484.771120383095
87107,TBA - TO BE ASSIGNED,2020-11-07T03:30:31.288608,33036.0,98.9098,0.0022246,15.07243199,560.0288633805349,529.2280952100555,544.6284792952952,11.7718,160.7891,199.4176,6922.765479295295,5732.319778077159,7588.030680163622
87113,TBA - TO BE ASSIGNED,2020-11-07T14:58:57.879264,36361.0,65.6686,0.0355514,14.35558836,1027.4502618389379,518.9694756982581,773.209868768598,27.5321,94.872,51.871,7151.346868768598,6018.562098140287,7465.776183696061
87129,TBA - TO BE ASSIGNED,2020-11-07T00:50:31.963488,31548.0,102.3838,0.003277,12.41981806,1524.0240209914664,1472.4024216409598,1498.213221316213,348.8372,265.8642,93.8676,7876.350221316213,6956.623646385356,7113.877435426423
